id,"First name","Last name",Username,Email,Phone,Location
1,NRG,RADIO,"NRG RADIO Ke",nrgradio@email.co.ke,0725468965,Nairobi
2,Main,Switch,"Main Switch_254",mswitch@email.ac.ke,0789987657,Nairobi
3,Jim,Juma,real_J_Juma,jjuma@gmail.com,0789098765,Mombasa
4,Lisa,Kudrow,Pheobe_ph,pheubo@friends.en.us,0789876567,Rongai
6,Chandler,Bing,Chanandler,djack@test.com,0712345698,"Nairobi, Kenya"
7,david,odero,mondi,omodidave@gmail.com,0717296490,mombasa
8,Allan,Abere,"Kondoo wa kutupa",knd@Trash.co.ke,0765453678,Rongai
9,Allan,Abere,"Kondoo wa kutupa",knd@Trash.co.ke,0765453678,"Rongai, Kenya"
10,Chandler,Bing,"Mr Bing",sam@gmail.com,0712345698,"Rongai, Kenya"
11,des,Abere,mondi,djack009@gmail.com,0765453678,"Rongai, Kenya"
14,Juma,mond,mondi,sam@gmail.com,0717296490,"Rongai, Kenya"
15,Juma,Genga,jgenga,jgenga123@gmail.com,0789876567,"Mukuru, Kenya"
16,Jamin,Keya,JKey123,jaminKeya123@gmail.com,0797876567,"Mukuru, Kenya"
